2026-07-26 21:29:01 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:29:02 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_increase_product_quantity_20260726_212902_182252.png
2026-07-26 21:29:02 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_increase_product_quantity_20260726_212902_182252.png
2026-07-26 21:29:03 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=fa8241ba-91dc-4da3-bb39-d1918620e38e
2026-07-26 21:29:03 | INFO     | conftest | Test session finished
2026-07-26 21:29:03 | INFO     | conftest | ======================================================================
2026-07-26 21:31:53 | INFO     | conftest | ======================================================================
2026-07-26 21:31:53 | INFO     | conftest | Starting new test session
2026-07-26 21:31:53 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:31:53 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:31:53 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:31:58 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=e589d3ae-bed0-458a-bdbb-b08110110807
2026-07-26 21:32:00 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:32:02 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=e589d3ae-bed0-458a-bdbb-b08110110807
2026-07-26 21:32:02 | INFO     | conftest | Test session finished
2026-07-26 21:32:02 | INFO     | conftest | ======================================================================
2026-07-26 21:32:02 | INFO     | conftest | ======================================================================
2026-07-26 21:32:02 | INFO     | conftest | Starting new test session
2026-07-26 21:32:02 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:32:02 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:32:02 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:32:06 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=daf572e0-7e55-4b94-a97f-abe61d026740
2026-07-26 21:32:06 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:32:07 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_default_quantity_is_one_20260726_213206_807743.png
